postcode sector,households,number of postcode units
HP15 6,3307,310
HP15 7,3691,326
HP16 0,2847,315
HP16 9,2063,246
HP17 0,501,272
HP17 8,3471,386
HP17 9,388,237
HP18 0,2359,393
HP18 9,3089,351
HP19 0,1021,83
HP19 7,2999,156
HP19 8,1451,289
HP19 9,4288,272
HP2  4,4771,383
HP2  5,5444,392
HP2  6,3296,226
HP2  7,3110,376
HP20 1,3248,342
HP20 2,2948,354
HP21 7,4108,377
HP21 8,5160,381
HP21 9,4511,339
HP22 4,2215,283
HP22 5,5420,396
HP22 6,2692,223
HP23 4,2434,306
HP23 5,3396,332
HP23 6,1554,233
HP27 0,2771,290
HP27 9,2486,324
HP3  0,3062,312
HP3  8,3908,308
HP3  9,5967,389
HP4  1,3069,316
HP4  2,3462,374
HP4  3,4000,393
HP5  1,2959,361
HP5  2,4680,388
HP5  3,3041,288
HP6  5,2428,298
HP6  6,3304,340
HP7  0,1933,282
HP7  9,2638,255
HP8  4,2785,318
HP9  1,3673,393
HP9  2,3321,392
HR1  1,5840,380
HR1  2,2766,303
HR1  3,2649,282
HR1  4,2658,283
HR2  0,2067,267
HR2  6,3531,301
HR2  7,6622,365
HR2  8,2164,251
HR2  9,2474,289
HR3  5,2506,70
HR3  6,1435,195
HR4  0,4858,317
HR4  7,2370,235
HR4  8,2624,285
HR4  9,3784,350
HR5  3,2245,245
HR6  0,2055,271
HR6  8,4950,322
HR6  9,2476,302
HR7  4,3328,324
HR8  1,2149,261
HR8  2,4314,371
HR9  5,3335,293
HR9  6,2059,245
HR9  7,4440,381
HU1  1,708,262
HU1  2,1420,236
HU1  3,131,277
HU10 6,4844,335
HU10 7,3558,317
HU11 4,3627,304
HU11 5,1658,236
HU12 0,2440,263
HU12 8,4973,365
HU12 9,3871,290
HU13 0,3192,338
HU13 9,3311,193
HU14 3,3592,299
HU15 1,5276,395
HU15 2,4756,392
HU16 4,3131,239
HU16 5,4013,348
HU17 0,4781,367
HU17 5,1182,60
HU17 7,3747,289
HU17 8,5028,398
HU17 9,4631,299
HU18 1,4114,315
HU19 2,3338,235
HU2  0,548,113
HU2  8,1043,217
HU2  9,663,47
HU20 3,430,41
HU3  1,3412,299
HU3  2,2965,241
HU3  3,2196,223
HU3  5,1280,192
HU3  6,3749,271
HU4  6,5596,299
HU4  7,4695,212
HU5  1,2404,208
HU5  2,4131,268
HU5  3,4876,305
HU5  4,3928,238
HU5  5,8288,346
HU6  0,225,20
HU6  7,5047,309
HU6  8,4141,232
HU6  9,5403,261
HU7  0,841,136
HU7  3,2733,199
HU7  4,9894,396
HU7  5,2018,112
HU7  6,2140,71
HU8  0,4020,281
HU8  7,1165,163
HU8  8,3998,252
HU8  9,6415,334
HU9  1,2355,268
HU9  2,2963,196
HU9  3,4431,270
HU9  4,5920,262
HU9  5,3565,277
HX1  1,411,273
HX1  2,2241,331
HX1  3,2893,248
HX1  4,2537,224
HX1  5,1583,235
HX2  0,3934,270
HX2  6,2262,261
HX2  7,2807,228
HX2  8,3122,280
HX2  9,3856,275
HX3  0,3359,292
HX3  5,3530,258
HX3  6,3308,282
HX3  7,4308,297
HX3  8,3286,308
HX3  9,3200,292
HX4  0,712,111
HX4  8,2810,214
HX4  9,1792,194
HX5  0,2737,216
HX5  9,2030,155
HX6  1,1850,160
HX6  2,3070,299
HX6  3,1459,244
HX6  4,2285,234
HX7  5,2280,273
HX7  6,1126,179
HX7  7,1224,170
HX7  8,1860,261
IG1  1,4423,380
IG1  2,6321,387
IG1  3,5682,343
IG1  4,4275,346
IG10 1,2800,258
IG10 2,4105,236
IG10 3,4655,309
IG10 4,2049,226
IG11 0,3639,383
IG11 7,6086,385
IG11 8,3061,337
IG11 9,6836,328
IG2  6,4973,348
IG2  7,4931,304
IG3  8,5563,369
IG3  9,5892,365
IG4  5,2789,227
IG5  0,5939,331
IG6  1,3059,243
IG6  2,4690,317
IG6  3,2827,211
IG7  4,3084,216
IG7  5,3311,231
IG7  6,1816,198
IG8  0,3531,330
IG8  7,3771,256
IG8  8,3349,272
IG8  9,3730,265
IG9  5,3439,288
IG9  6,2326,127
IP1  1,419,271
IP1  2,2871,229
IP1  3,1561,264
IP1  4,3648,200
IP1  5,4020,207
IP1  6,4996,253
IP10 0,1381,339
IP11 0,2347,150
IP11 2,3969,289
IP11 7,3170,288
IP11 9,4148,309
IP12 1,3372,299
IP12 2,2653,305
IP12 3,1889,252
IP12 4,3518,315
IP13 0,1827,275
IP13 6,2038,313
IP13 7,1386,247
IP13 8,1051,162
IP13 9,1832,276
IP14 1,4243,324
IP14 2,2760,238
IP14 3,1934,246
IP14 4,2522,289
IP14 5,3556,344
IP14 6,1795,242
IP15 5,2018,191
IP16 4,3375,322
IP17 1,3165,374
IP17 2,1280,221
IP17 3,1179,212
IP18 6,3124,324
IP19 0,1106,211
IP19 8,2993,265
IP19 9,1098,156
IP2  0,4131,284
IP2  8,3578,271
IP2  9,6436,328
IP20 0,1145,152
IP20 9,2547,227
IP21 4,2911,310
IP21 5,2196,269
IP22 1,2442,269
IP22 2,2408,273
IP22 4,4006,312
IP22 5,1156,115
IP23 7,1959,208
IP23 8,1124,161
IP24 1,4078,306
IP24 2,4144,356
IP24 3,3427,276
IP25 6,4921,392
IP25 7,3057,284
IP26 4,2479,225
IP26 5,1563,151
IP27 0,5272,333
IP27 9,3136,258
IP28 6,2383,300
IP28 7,4229,249
IP28 8,4443,396
IP29 4,1917,250
IP29 5,1977,232
IP3  0,4568,253
IP3  8,5329,334
IP3  9,5018,325
IP30 0,1835,268
IP30 9,4009,369
IP31 1,2296,236
IP31 2,3356,328
IP31 3,2945,306
IP32 6,3807,282
IP32 7,3377,233
IP33 1,2524,324
IP33 2,4227,293
IP33 3,4843,345
IP4  1,1741,215
IP4  2,3843,292
IP4  3,2202,176
IP4  4,3286,230
IP4  5,5118,308
IP5  1,2580,165
IP5  2,3932,237
IP5  3,1722,116
IP6  0,2365,280
IP6  8,2907,315
IP6  9,1921,282
IP7  5,2944,277
IP7  6,1995,250
IP7  7,1996,246
IP8  3,2987,292
IP8  4,1916,228
IP9  1,1893,209
IP9  2,2894,336
KT1  1,503,286
KT1  2,3759,340
KT1  3,4719,301
KT1  4,1602,138
KT10 0,3796,308
KT10 8,2501,235
KT10 9,2055,331
KT11 1,1323,215
KT11 2,3588,322
KT11 3,1206,200
KT12 1,2102,310
KT12 2,5212,325
KT12 3,3254,274
KT12 4,2496,235
KT12 5,3054,254
KT13 0,2902,384
KT13 8,3428,377
KT13 9,3399,389
KT14 6,2403,274
KT14 7,3267,295
KT15 1,4157,309
KT15 2,3890,370
KT15 3,3847,286
KT16 0,2537,263
KT16 8,2939,272
KT16 9,2925,287
KT17 1,2420,335
KT17 2,3023,241
KT17 3,1487,189
KT17 4,2655,233
KT18 5,3436,310
KT18 6,850,134
KT18 7,3206,269
KT19 0,3639,243
KT19 7,664,56
KT19 8,3159,326
KT19 9,6058,360
KT2  5,5898,374
KT2  6,3448,302
KT2  7,2993,335
KT20 5,4239,348
KT20 6,2397,314
KT20 7,2108,274
KT21 1,2328,212
KT21 2,3304,308
KT22 0,1592,239
KT22 7,3122,381
KT22 8,2190,326
KT22 9,3574,333
KT23 3,2223,226
KT23 4,2448,255
KT24 5,2082,252
KT24 6,1794,245
KT3  3,5009,330
KT3  4,1861,300
KT3  5,3849,257
KT3  6,4020,243
KT4  7,4288,275
KT4  8,7332,361
KT5  8,4590,297
KT5  9,3597,211
KT6  4,3421,320
KT6  5,3068,233
KT6  6,3389,281
KT6  7,4092,323
KT7  0,4206,373
KT8  0,1064,295
KT8  1,2319,127
KT8  2,3156,254
KT8  9,2075,298
KT9  1,3744,308
KT9  2,4746,273
L1   0,86,48
L1   1,130,127
L1   2,91,34
L1   3,187,60
L1   4,693,134
L1   5,1436,112
L1   6,284,82
L1   7,313,22
L1   8,726,88
L1   9,409,86
L10  0,227,19
L10  1,635,34
L10  2,639,33
L10  3,478,38
L10  4,1259,60
L10  6,696,33
L10  7,1067,42
L10  8,887,47
L10  9,654,39
L11  0,694,69
L11  1,990,122
L11  2,1810,125
L11  3,1852,75
L11  4,1245,86
L11  5,673,36
L11  6,509,34
L11  7,1292,54
L11  8,908,46
L11  9,961,61
L12  0,3775,244
L12  1,576,40
L12  2,486,36
L12  3,365,20
L12  4,1391,64
L12  5,1843,94
L12  6,1128,41
L12  7,927,69
L12  8,1064,77
L12  9,1925,101
L13  0,621,60
L13  1,722,118
L13  2,1577,84
L13  3,1469,89
L13  4,1466,79
L13  5,1953,110
L13  6,1438,64
L13  7,1821,100
L13  8,1556,75
L13  9,1613,63
L14  0,1885,94
L14  1,926,41
L14  2,975,44
L14  3,842,48
L14  4,768,52
L14  5,452,41
L14  6,1116,51
L14  7,1372,87
L14  8,1094,65
L14  9,1506,80
L15  0,1530,64
L15  1,1356,52
L15  2,981,45
L15  3,1504,76
L15  4,2031,121
L15  5,691,47
L15  6,990,96
L15  7,1320,60
L15  8,1900,100
L15  9,866,51
L16  0,324,24
L16  1,473,26
L16  2,1016,50
L16  3,985,44
L16  4,340,16
L16  5,612,31
L16  6,461,21
L16  7,889,45
L16  8,394,33
L16  9,281,31
L17  0,2031,100
L17  1,391,28
L17  2,670,42
L17  3,1417,70
L17  4,925,52
L17  5,708,54
L17  6,1051,87
L17  7,2102,126
L17  8,1928,127
L17  9,888,63
L18  0,419,29
L18  1,2588,161
L18  2,820,75
L18  3,1323,126
L18  4,901,65
L18  5,1092,67
L18  6,705,63
L18  7,1225,51
L18  8,1584,96
L18  9,1511,101
L19  0,1087,90
L19  1,1309,57
L19  2,1535,141
L19  3,1242,69
L19  4,1246,63
L19  5,755,34
L19  6,509,26
L19  7,507,31
L19  8,1420,106
L19  9,1283,93
L2   0,141,103
L2   2,117,173
L2   5,140,52
L20  0,1409,75
L20  2,1207,81
L20  3,1409,211
L20  4,3536,290
L20  5,1414,101
L20  6,2283,202
L20  7,1063,135
L20  8,182,168
L20  9,2745,191
L21  0,1624,83
L21  1,1832,112
L21  2,525,36
L21  3,354,26
L21  4,830,56
L21  5,794,48
L21  6,427,39
L21  7,1534,97
L21  8,1692,120
L21  9,2100,108
L22  0,726,83
L22  1,498,33
L22  2,777,41
L22  3,533,41
L22  4,851,43
L22  5,745,70
L22  6,618,33
L22  7,579,30
L22  8,649,38
L22  9,613,40
L23  0,1915,128
L23  1,996,65
L23  2,1373,125
L23  3,1106,72
L23  4,476,38
L23  5,1057,85
L23  6,1571,122
L23  7,1274,91
L23  8,959,95
L23  9,2457,114
L24  0,1270,46
L24  1,482,72
L24  2,1346,83
L24  3,1284,56
L24  4,413,44
L24  5,403,34
L24  6,553,31
L24  7,839,35
L24  9,463,128
L25  0,1355,93
L25  1,957,91
L25  2,1625,166
L25  3,1478,104
L25  4,1293,112
L25  5,2131,132
L25  6,739,112
L25  7,2312,146
L25  8,1764,99
L25  9,2034,118
L26  0,977,69
L26  1,1451,75
L26  3,129,7
L26  6,513,46
L26  7,1832,112
L26  9,1346,89
L27  0,148,5
L27  1,575,41
L27  4,111,24
L27  5,493,30
L27  6,447,34
L27  7,566,44
L27  8,466,26
L28  0,443,17
L28  1,662,59
L28  3,104,9
L28  4,638,17
L28  5,596,19
L28  6,219,14
L28  7,147,11
L28  8,228,9
L29  7,161,13
L3   0,409,33
L3   1,663,146
L3   2,873,68
L3   3,201,68
L3   4,1931,99
L3   5,750,156
L3   6,1549,131
L3   8,882,128
L3   9,863,169
L30  0,972,52
L30  1,1727,106
L30  2,1443,88
L30  3,852,53
L30  5,1423,63
L30  6,113,53
L30  7,1176,68
L30  8,571,26
L30  9,426,28
L31  0,1098,68
L31  1,1622,149
L31  2,1432,109
L31  3,673,72
L31  4,955,116
L31  5,1480,81
L31  6,1429,87
L31  7,1250,73
L31  8,1270,92
L31  9,1724,99
L32  0,1432,94
L32  1,590,46
L32  2,1000,55
L32  3,565,32
L32  4,836,73
L32  5,346,33
L32  6,1107,59
L32  7,903,68
L32  8,931,106
L32  9,1301,84
L33  0,494,34
L33  1,1931,215
L33  2,492,35
L33  4,1470,111
L33  5,583,36
L33  6,606,55
L33  7,107,206
L33  8,526,39
L33  9,738,59
L34  0,1057,64
L34  1,821,107
L34  2,1438,112
L34  3,360,30
L34  4,160,22
L34  5,747,119
L34  6,943,66
L35  0,1165,100
L35  1,596,58
L35  2,976,66
L35  3,3303,177
L35  4,1277,92
L35  5,2287,105
L35  6,579,63
L35  7,1111,79
L35  8,1377,73
L35  9,685,46
L36  0,1922,104
L36  1,1270,78
L36  2,2170,93
L36  3,2001,113
L36  4,2729,141
L36  5,1824,128
L36  6,1093,143
L36  7,1631,125
L36  8,1897,120
L36  9,662,133
L37  1,976,112
L37  2,2029,184
L37  3,2261,160
L37  4,1145,143
L37  5,95,13
L37  6,1240,111
L37  7,1529,140
L37  8,868,74
L38  0,254,27
L38  1,121,8
L38  3,126,26
L38  6,101,14
L38  9,523,41
L39  0,529,52
L39  1,2167,110
L39  2,1380,200
L39  3,1429,144
L39  4,2464,182
L39  5,1965,165
L39  6,921,82
L39  7,482,64
L39  8,595,66
L4   0,1599,70
L4   1,1645,104
L4   2,2618,106
L4   3,1711,86
L4   4,2263,141
L4   5,3259,129
L4   6,1364,77
L4   7,1606,56
L4   8,1137,61
L4   9,2385,96
L40  0,603,63
L40  1,863,92
L40  2,458,55
L40  3,531,52
L40  4,710,55
L40  5,1167,111
L40  6,467,69
L40  7,1992,114
L40  8,575,71
L40  9,569,66
L5   0,896,64
L5   1,266,55
L5   2,399,76
L5   3,992,110
L5   4,612,53
L5   5,477,75
L5   6,1177,77
L5   7,715,61
L5   8,396,77
L5   9,514,102
L6   0,1325,48
L6   1,891,116
L6   2,1127,122
L6   3,1314,38
L6   4,1850,79
L6   5,1433,97
L6   6,1771,49
L6   7,422,16
L6   8,913,29
L6   9,649,62
L7   0,1751,84
L7   1,135,58
L7   2,882,55
L7   3,1018,107
L7   4,241,27
L7   5,578,39
L7   6,869,80
L7   7,749,72
L7   8,1516,82
L7   9,153,52
L8   0,3703,125
L8   1,619,65
L8   2,1077,53
L8   3,1662,61
L8   4,2020,117
L8   5,954,102
L8   6,1143,116
L8   7,2946,115
L8   8,2338,118
L8   9,1256,77
L9   0,1819,116
L9   1,3207,153
L9   2,1157,60
L9   3,1165,57
L9   4,416,38
L9   6,1712,88
L9   7,365,121
L9   8,1965,108
L9   9,2259,122
LA1  1,2682,390
LA1  2,4949,279
LA1  3,4184,311
LA1  4,5432,382
LA1  5,4095,346
LA10 5,1998,257
LA11 6,2176,258
LA11 7,3148,256
LA12 0,2867,296
LA12 7,2460,311
LA12 8,1558,221
LA12 9,3317,275
LA13 0,3891,268
LA13 9,4486,292
LA14 1,1905,312
LA14 2,4095,298
LA14 3,5056,299
LA14 4,3138,243
LA14 5,5139,309
LA15 8,3633,279
LA16 7,1521,121
LA17 7,605,61
LA18 4,2538,196
LA18 5,1568,140
LA19 5,475,81
LA2  0,1627,229
LA2  6,2450,243
LA2  7,1508,179
LA2  8,1598,234
LA2  9,2027,237
LA20 6,702,95
LA21 8,635,105
LA22 0,1704,234
LA22 9,1874,251
LA23 1,1677,229
LA23 2,2020,179
LA23 3,1590,207
LA3  1,4245,312
LA3  2,4534,338
LA3  3,2609,287
LA4  4,4503,311
LA4  5,4352,329
LA4  6,4111,284
LA5  0,2105,200
LA5  8,1881,150
LA5  9,3849,331
LA6  1,2454,275
LA6  2,2141,294
LA6  3,1579,206
LA7  7,2451,253
LA8  0,1307,177
LA8  8,1412,204
LA8  9,1743,207
LA9  4,2372,307
LA9  5,4187,252
LA9  6,3169,268
LA9  7,4557,285
LE1  1,1186,212
LE1  2,1430,140
LE1  3,462,243
LE1  4,436,153
LE1  5,719,240
LE1  6,1447,258
LE1  7,281,145
LE10 0,9146,391
LE10 1,4781,351
LE10 2,6587,353
LE10 3,990,195
LE11 1,4739,351
LE11 2,5815,348
LE11 3,4355,332
LE11 4,4144,174
LE11 5,4577,289
LE12 5,3051,256
LE12 6,3874,290
LE12 7,7221,398
LE12 8,6082,395
LE12 9,6601,394
LE13 0,6595,369
LE13 1,5370,357
LE14 2,2042,264
LE14 3,2927,259
LE14 4,2659,269
LE15 6,4851,339
LE15 7,3385,359
LE15 8,2756,285
LE15 9,2884,294
LE16 7,4758,391
LE16 8,4799,379
LE16 9,5685,368
LE17 4,4552,392
LE17 5,2524,285
LE17 6,1622,227
LE18 1,3271,190
LE18 2,3726,210
LE18 3,3566,204
LE18 4,3528,207
LE19 2,2601,171
LE19 3,1913,119
LE19 4,1822,154
LE2  0,4638,269
LE2  1,5156,310
LE2  2,2427,185
LE2  3,4780,293
LE2  4,4498,294
LE2  5,3689,270
LE2  6,5723,307
LE2  7,3492,302
LE2  8,4981,257
LE2  9,6575,292
LE3  0,5058,279
LE3  1,6044,310
LE3  2,6130,344
LE3  3,5483,338
LE3  5,3193,242
LE3  6,5671,270
LE3  8,4496,300
LE3  9,6583,306
LE4  0,6090,322
LE4  1,2024,130
LE4  2,4232,273
LE4  3,2254,201
LE4  4,2826,181
LE4  5,3354,253
LE4  6,5215,245
LE4  7,4221,397
LE4  8,4071,254
LE4  9,3126,222
LE5  0,2931,235
LE5  1,6212,348
LE5  2,4309,196
LE5  3,3007,217
LE5  4,4938,297
LE5  5,4997,327
LE5  6,3349,207
LE6  0,5184,396
LE65 1,2687,302
LE65 2,3396,272
LE67 1,2291,199
LE67 2,3275,265
LE67 3,3934,285
LE67 4,4400,248
LE67 5,3779,181
LE67 6,2556,174
LE67 8,2529,179
LE67 9,2740,184
LE7  1,2596,183
LE7  2,3015,189
LE7  3,2238,192
LE7  4,1601,145
LE7  7,5512,398
LE7  9,4299,377
LE8  0,2744,381
LE8  4,2743,171
LE8  5,2985,191
LE8  6,2791,205
LE8  8,1982,133
LE8  9,1653,142
LE9  1,1475,98
LE9  2,2020,146
LE9  3,1442,98
LE9  4,2735,222
LE9  6,3474,395
LE9  7,5467,323
LE9  8,4230,222
LE9  9,3020,275
LN1  1,3500,368
LN1  2,5072,395
LN1  3,4432,313
LN10 5,395,33
LN10 6,2487,204
LN11 0,4580,395
LN11 7,2361,250
LN11 8,3638,330
LN11 9,2598,319
LN12 1,2573,213
LN12 2,4481,299
LN13 0,1225,143
LN13 9,2382,243
LN2  1,896,223
LN2  2,4686,367
LN2  3,2771,319
LN2  4,5658,385
LN2  5,3296,264
LN3  4,2593,214
LN3  5,1405,259
LN4  1,4787,355
LN4  2,3678,309
LN4  3,3673,293
LN4  4,4785,393
LN5  0,2581,282
LN5  7,3164,332
LN5  8,4234,301
LN5  9,5013,370
LN6  0,6207,360
LN6  3,1861,181
LN6  4,120,25
LN6  5,1394,103
LN6  7,5243,363
LN6  8,4422,297
LN6  9,5765,396
LN7  6,2746,303
LN8  2,810,99
LN8  3,4433,375
LN8  5,1421,137
LN8  6,1305,144
LN9  5,2238,238
LN9  6,2450,223
LS1  2,136,290
LS1  3,272,98
LS1  4,1570,261
LS1  5,155,257
LS1  6,256,201
LS10 1,2256,306
LS10 2,1918,229
LS10 3,5702,298
LS10 4,6570,350
LS11 0,1992,170
LS11 5,2769,321
LS11 6,3036,213
LS11 7,3807,190
LS11 8,3595,270
LS11 9,1655,262
LS12 1,3016,277
LS12 2,2594,279
LS12 3,4366,321
LS12 4,4303,313
LS12 5,4317,274
LS12 6,694,186
LS13 1,3457,241
LS13 2,4689,308
LS13 3,3310,263
LS13 4,4512,293
LS14 1,3524,230
LS14 2,1981,144
LS14 3,1362,160
LS14 5,3305,209
LS14 6,5335,373
LS15 0,3483,211
LS15 4,2362,196
LS15 7,4053,287
LS15 8,4134,357
LS15 9,1637,148
LS16 5,3415,256
LS16 6,4353,324
LS16 7,5003,310
LS16 8,1659,206
LS16 9,1639,173
LS17 0,599,98
LS17 5,3141,214
LS17 6,4528,317
LS17 7,4091,343
LS17 8,4896,397
LS17 9,1987,216
LS18 4,4305,365
LS18 5,4301,329
LS19 6,2709,276
LS19 7,6209,397
LS2  7,1714,285
LS2  8,361,235
LS2  9,1455,213
LS20 8,2938,257
LS20 9,2579,215
LS21 1,2612,316
LS21 2,3105,272
LS21 3,2404,215
LS22 4,843,376
LS22 5,1564,216
LS22 6,2819,262
LS22 7,1859,166
LS23 6,3420,344
LS23 7,434,185
LS24 8,1451,133
LS24 9,3776,356
LS25 1,3457,231
LS25 2,2963,222
LS25 3,658,85
LS25 4,833,89
LS25 5,2063,217
LS25 6,2897,278
LS25 7,4373,277
LS26 0,6168,369
LS26 8,5192,375
LS26 9,1708,159
LS27 0,3190,342
LS27 7,4642,368
LS27 8,4835,374
LS27 9,4008,279
LS28 5,5199,378
LS28 6,1604,240
LS28 7,4205,337
LS28 8,3380,248
LS28 9,2760,209
LS29 0,2363,312
LS29 6,2414,292
LS29 7,3080,281
LS29 8,3655,341
LS29 9,2678,301
LS3  1,1144,227
LS4  2,3996,309
LS5  3,3499,274
LS6  1,5297,342
LS6  2,3657,332
LS6  3,4332,290
LS6  4,4375,305
LS7  1,2007,187
LS7  2,3318,301
LS7  3,3974,273
LS7  4,3944,291
LS8  1,4286,289
LS8  2,4855,343
LS8  3,4559,245
LS8  4,2360,191
LS8  5,3369,258
LS9  0,2719,274
LS9  6,5500,286
LS9  7,3854,288
LS9  8,2840,265
LS9  9,2727,167
LU1  1,4827,363
LU1  2,565,297
LU1  3,4237,368
LU1  4,2518,182
LU1  5,4781,322
LU2  0,4718,337
LU2  7,8487,395
LU2  8,5305,316
LU2  9,4646,323
LU3  1,6700,357
LU3  2,5549,328
LU3  3,7613,360
LU3  4,2334,118
LU4  0,6728,348
LU4  8,4408,297
LU4  9,7117,392
LU5  4,5853,357
LU5  5,7031,376
LU5  6,3143,301
LU6  1,4828,350
LU6  2,3531,305
LU6  3,5063,311
LU7  0,3883,388
LU7  1,2785,187
LU7  2,4997,240
LU7  3,5572,324
LU7  4,3062,259
LU7  9,3177,334
M1   1,472,149
M1   2,1157,201
M1   3,727,163
M1   4,137,133
M1   5,1472,138
M1   6,574,110
M1   7,1001,103
M11  1,2463,246
M11  2,1443,245
M11  3,1500,249
M11  4,3681,336
M12  4,2678,267
M12  5,3514,335
M12  6,317,187
M13  0,4907,375
M13  9,2418,362
M14  4,3535,269
M14  5,3803,342
M14  6,5966,400
M14  7,5241,296
M15  4,5038,370
M15  5,3160,301
M15  6,1951,245
M16  0,2982,383
M16  7,3132,288
M16  8,4992,344
M16  9,3280,333
M18  7,5369,321
M18  8,4859,337
M19  1,4681,343
M19  2,5258,391
M19  3,4116,292
M20  1,3407,227
M20  2,5814,399
M20  3,2671,215
M20  4,4049,254
M20  5,1853,129
M20  6,3785,290
M21  0,2439,227
M21  7,3567,264
M21  8,2581,203
M21  9,4358,342
M22  0,1447,152
M22  1,3479,233
M22  4,4876,395
M22  5,3017,326
M22  8,1866,169
M22  9,4026,250
M23  0,3915,271
M23  1,3685,200
M23  2,2609,190
M23  9,3804,340
M24  1,5001,380
M24  2,5720,380
M24  4,4466,332
M24  5,3885,249
M24  6,2379,173
M25  0,2955,276
M25  1,3775,268
M25  2,1530,101
M25  3,1540,164
M25  9,3321,290
M26  1,4777,342
M26  2,2791,218
M26  3,4615,253
M26  4,3601,241
M27  0,3082,231
M27  4,2421,183
M27  5,3700,281
M27  6,2767,204
M27  8,3956,282
M27  9,2813,179
M28  0,2542,152
M28  1,4272,320
M28  2,2657,283
M28  3,5209,395
M28  7,3005,212
M29  7,5549,367
M29  8,4480,323
M3   1,368,156
M3   2,120,147
M3   3,400,152
M3   4,1598,162
M3   5,900,171
M3   6,1794,164
M3   7,2049,172
M30  0,5001,383
M30  7,4225,260
M30  8,4282,239
M30  9,3907,285
M31  4,3625,310
M32  0,4649,395
M32  8,3064,254
M32  9,4839,274
M33  2,5704,400
M33  3,5542,398
M33  4,5961,356
M33  5,4286,350
M33  6,3047,247
M33  7,2213,321
M34  2,4622,285
M34  3,4144,353
M34  5,5266,397
M34  6,3149,179
M34  7,3970,297
M35  0,5191,340
M35  9,4180,298
M38  0,1103,233
M38  9,4678,273
M4   1,1151,106
M4   4,2030,154
M4   5,995,128
M4   6,802,178
M4   7,1587,121
M40  0,1808,164
M40  1,2663,199
M40  2,2679,233
M40  3,3183,193
M40  5,1799,185
M40  7,2753,349
M40  8,1815,236
M40  9,2163,169
M41  0,2398,193
M41  5,2689,203
M41  6,3431,197
M41  7,2405,229
M41  8,2826,200
M41  9,3974,282
M43  6,4586,319
M43  7,5954,384
M44  5,3351,246
M44  6,5271,315
M45  6,2386,181
M45  7,4295,385
M45  8,3568,290
M46  0,4937,318
M46  9,5433,339
M5   3,2666,305
M5   4,3077,378
M5   5,2310,160
M50  1,725,38
M50  2,191,124
M50  3,1841,172
M6   5,4520,346
M6   6,2005,296
M6   7,4042,265
M6   8,4288,273
M60  7,52,56
M60  9,102,87
M7   1,1771,221
M7   2,2431,212
M7   3,2441,178
M7   4,5129,400
M8   0,3372,272
M8   4,3351,236
M8   5,2472,184
M8   8,1419,302
M8   9,1269,193
M9   0,2103,135
M9   4,3652,279
M9   5,1766,175
M9   6,3922,272
M9   7,2841,128
M9   8,3827,268
ME1  1,2881,370
ME1  2,5936,321
ME1  3,4477,374
ME10 1,5847,338
ME10 2,5785,334
ME10 3,3266,294
ME10 4,3986,288
ME10 5,1043,76
ME11 5,1503,147
ME12 1,2985,299
ME12 2,5527,290
ME12 3,4783,335
ME12 4,2624,236
ME13 0,1545,247
ME13 7,4197,323
ME13 8,4406,377
ME13 9,2183,306
ME14 1,1442,341
ME14 2,4570,334
ME14 3,821,155
ME14 4,2609,228
ME14 5,3945,370
ME15 0,1664,239
ME15 6,4527,390
ME15 7,4489,306
ME15 8,4764,368
ME15 9,4530,387
ME16 0,5778,396
ME16 8,5060,328
ME16 9,2194,220
ME17 1,1978,345
ME17 2,1740,234
ME17 3,2352,330
ME17 4,3338,348
ME18 5,2038,257
ME18 6,932,144
ME19 4,2778,350
ME19 5,2644,296
ME19 6,3289,308
ME2  1,2281,182
ME2  2,6053,389
ME2  3,5101,298
ME2  4,2978,353
ME20 6,5437,365
ME20 7,3077,343
ME3  0,662,83
ME3  7,2644,275
ME3  8,3343,324
ME3  9,4531,348
ME4  3,1197,121
ME4  4,1819,381
ME4  5,5733,301
ME4  6,3908,303
ME5  0,4954,281
ME5  7,5309,299
ME5  8,6067,360
ME5  9,4832,344
ME6  5,4474,307
ME7  1,4713,334
ME7  2,4971,283
ME7  3,3373,242
ME7  4,4016,238
ME7  5,3991,286
ME8  0,3847,295
ME8  6,4268,267
ME8  7,3386,272
ME8  8,4120,285
ME8  9,5261,306
ME9  0,1132,192
ME9  7,2853,309
ME9  8,2505,337
ME9  9,2103,216
MK1  1,355,301
MK10 7,964,189
MK10 9,4248,357
MK11 1,2757,230
MK11 2,625,37
MK12 5,3296,337
MK12 6,1997,138
MK13 0,2041,192
MK13 7,3185,245
MK13 8,1290,184
MK13 9,1280,138
MK14 5,2888,283
MK14 6,2454,298
MK14 7,2319,207
MK15 0,512,80
MK15 8,801,113
MK15 9,1869,176
MK16 0,2328,237
MK16 8,3411,335
MK16 9,2074,257
MK17 0,2525,289
MK17 8,3013,385
MK17 9,1972,271
MK18 1,3853,395
MK18 2,2398,289
MK18 3,2635,292
MK18 4,1493,249
MK18 5,721,159
MK18 7,1460,161
MK19 6,2635,247
MK19 7,2043,224
MK2  2,2977,351
MK2  3,3044,238
MK3  5,2758,307
MK3  6,2345,241
MK3  7,4228,324
MK4  1,2346,195
MK4  2,2161,175
MK4  3,1336,133
MK4  4,2519,243
MK40 1,1969,316
MK40 2,3624,351
MK40 3,4047,352
MK40 4,4384,373
MK41 0,4087,370
MK41 6,1929,134
MK41 7,5282,379
MK41 8,3364,233
